"aqExample"
"20180701 - 20180731"
"SO4"
""
"IMPROVE"
"network","stat_id","lat","lon","row","col","ob_dates","ob_datee","ob_hour","month","SO4_ob","SO4_mod","POCode","state","county","stat_id_noPOC"
"IMPROVE","BRCA11",37.6184,-112.1736,"132","103",2018-07-28,2018-07-28,"00",7,0.61252,0.42077,"1","UT"," Garfield","BRCA1"
"IMPROVE","BRID11",42.9749,-109.7579,"178","128",2018-07-01,2018-07-01,"00",7,0.15173,0.29047,"1","WY"," Sublette","BRID1"
"IMPROVE","BRID11",42.9749,-109.7579,"178","128",2018-07-04,2018-07-04,"00",7,0.39127,0.46762,"1","WY"," Sublette","BRID1"
"IMPROVE","BRID11",42.9749,-109.7579,"178","128",2018-07-07,2018-07-07,"00",7,0.51156,0.3357,"1","WY"," Sublette","BRID1"
"IMPROVE","BRID11",42.9749,-109.7579,"178","128",2018-07-10,2018-07-10,"00",7,0.50675,0.35343,"1","WY"," Sublette","BRID1"
"IMPROVE","BRID11",42.9749,-109.7579,"178","128",2018-07-25,2018-07-25,"00",7,0.46847,0.28214,"1","WY"," Sublette","BRID1"
"IMPROVE","BRID11",42.9749,-109.7579,"178","128",2018-07-28,2018-07-28,"00",7,0.52563,0.36783,"1","WY"," Sublette","BRID1"
"IMPROVE","BRIG11",39.465,-74.4492,"159","372",2018-07-01,2018-07-01,"00",7,2.4063,1.4538,"1","NJ"," Atlantic","BRIG1"
"IMPROVE","BRIG11",39.465,-74.4492,"159","372",2018-07-04,2018-07-04,"00",7,1.0622,0.52585,"1","NJ"," Atlantic","BRIG1"
"IMPROVE","BRIG11",39.465,-74.4492,"159","372",2018-07-07,2018-07-07,"00",7,0.21893,0.3441,"1","NJ"," Atlantic","BRIG1"
"IMPROVE","BRIG11",39.465,-74.4492,"159","372",2018-07-10,2018-07-10,"00",7,1.0582,0.93594,"1","NJ"," Atlantic","BRIG1"
"IMPROVE","BRIG11",39.465,-74.4492,"159","372",2018-07-13,2018-07-13,"00",7,0.38328,0.65631,"1","NJ"," Atlantic","BRIG1"
"IMPROVE","BRIG11",39.465,-74.4492,"159","372",2018-07-16,2018-07-16,"00",7,1.3256,0.96058,"1","NJ"," Atlantic","BRIG1"
"IMPROVE","BRIG11",39.465,-74.4492,"159","372",2018-07-19,2018-07-19,"00",7,0.39724,0.36104,"1","NJ"," Atlantic","BRIG1"
"IMPROVE","BRIS11",30.10863,-89.76168,"055","272",2018-07-01,2018-07-01,"00",7,1.5516,1.204,"1","LA"," Plaquemines","BRIS1"
"IMPROVE","BRIS11",30.10863,-89.76168,"055","272",2018-07-04,2018-07-04,"00",7,1.2537,0.40122,"1","LA"," Plaquemines","BRIS1"
"IMPROVE","BRIS11",30.10863,-89.76168,"055","272",2018-07-07,2018-07-07,"00",7,0.77429,0.32038,"1","LA"," Plaquemines","BRIS1"
"IMPROVE","BRIS11",30.10863,-89.76168,"055","272",2018-07-10,2018-07-10,"00",7,2.0352,0.79184,"1","LA"," Plaquemines","BRIS1"
"IMPROVE","BRIS11",30.10863,-89.76168,"055","272",2018-07-13,2018-07-13,"00",7,4.3217,0.32154,"1","LA"," Plaquemines","BRIS1"
"IMPROVE","BRIS11",30.10863,-89.76168,"055","272",2018-07-16,2018-07-16,"00",7,1.7257,1.1451,"1","LA"," Plaquemines","BRIS1"
"IMPROVE","BRIS11",30.10863,-89.76168,"055","272",2018-07-19,2018-07-19,"00",7,2.0053,1.8984,"1","LA"," Plaquemines","BRIS1"
"IMPROVE","BRIS11",30.10863,-89.76168,"055","272",2018-07-22,2018-07-22,"00",7,2.5648,1.62,"1","LA"," Plaquemines","BRIS1"
"IMPROVE","BRIS11",30.10863,-89.76168,"055","272",2018-07-25,2018-07-25,"00",7,1.8811,1.5506,"1","LA"," Plaquemines","BRIS1"
"IMPROVE","BRIS11",30.10863,-89.76168,"055","272",2018-07-28,2018-07-28,"00",7,2.7369,2.1118,"1","LA"," Plaquemines","BRIS1"
"IMPROVE","CABA11",43.8325,-70.0644,"206","391",2018-07-01,2018-07-01,"00",7,1.1497,0.87989,"1","ME"," Cumberland","CABA1"
"IMPROVE","CABA11",43.8325,-70.0644,"206","391",2018-07-04,2018-07-04,"00",7,0.90931,0.63455,"1","ME"," Cumberland","CABA1"
"IMPROVE","CABA11",43.8325,-70.0644,"206","391",2018-07-07,2018-07-07,"00",7,0.20184,0.56607,"1","ME"," Cumberland","CABA1"
"IMPROVE","CABA11",43.8325,-70.0644,"206","391",2018-07-10,2018-07-10,"00",7,0.72208,1.2004,"1","ME"," Cumberland","CABA1"
"IMPROVE","CABA11",43.8325,-70.0644,"206","391",2018-07-13,2018-07-13,"00",7,0.34213,0.55116,"1","ME"," Cumberland","CABA1"
"IMPROVE","CABA11",43.8325,-70.0644,"206","391",2018-07-16,2018-07-16,"00",7,0.75785,1.0405,"1","ME"," Cumberland","CABA1"
"IMPROVE","CABA11",43.8325,-70.0644,"206","391",2018-07-19,2018-07-19,"00",7,0.17909,0.51152,"1","ME"," Cumberland","CABA1"
"IMPROVE","CABA11",43.8325,-70.0644,"206","391",2018-07-22,2018-07-22,"00",7,0.87771,0.47339,"1","ME"," Cumberland","CABA1"
"IMPROVE","CABA11",43.8325,-70.0644,"206","391",2018-07-25,2018-07-25,"00",7,0.91005,0.29034,"1","ME"," Cumberland","CABA1"
"IMPROVE","CABA11",43.8325,-70.0644,"206","391",2018-07-28,2018-07-28,"00",7,1.3353,1.2807,"1","ME"," Cumberland","CABA1"
"IMPROVE","CABI11",47.9549,-115.6709,"230","098",2018-07-01,2018-07-01,"00",7,0.1162,0.20328,"1","MT"," Sanders","CABI1"
"IMPROVE","CABI11",47.9549,-115.6709,"230","098",2018-07-04,2018-07-04,"00",7,0.10349,0.074273,"1","MT"," Sanders","CABI1"
"IMPROVE","CABI11",47.9549,-115.6709,"230","098",2018-07-07,2018-07-07,"00",7,0.25833,0.36688,"1","MT"," Sanders","CABI1"
"IMPROVE","CABI11",47.9549,-115.6709,"230","098",2018-07-10,2018-07-10,"00",7,0.30702,0.41739,"1","MT"," Sanders","CABI1"
"IMPROVE","CABI11",47.9549,-115.6709,"230","098",2018-07-13,2018-07-13,"00",7,0.15172,0.30028,"1","MT"," Sanders","CABI1"
"IMPROVE","CABI11",47.9549,-115.6709,"230","098",2018-07-16,2018-07-16,"00",7,0.10587,0.30114,"1","MT"," Sanders","CABI1"
"IMPROVE","CABI11",47.9549,-115.6709,"230","098",2018-07-19,2018-07-19,"00",7,0.3405,0.4786,"1","MT"," Sanders","CABI1"
"IMPROVE","CABI11",47.9549,-115.6709,"230","098",2018-07-22,2018-07-22,"00",7,0.26514,0.10314,"1","MT"," Sanders","CABI1"
"IMPROVE","CABI11",47.9549,-115.6709,"230","098",2018-07-25,2018-07-25,"00",7,0.2739,0.33795,"1","MT"," Sanders","CABI1"
"IMPROVE","CABI11",47.9549,-115.6709,"230","098",2018-07-28,2018-07-28,"00",7,0.35979,0.39765,"1","MT"," Sanders","CABI1"
"IMPROVE","CACO11",41.9758,-70.0242,"190","396",2018-07-01,2018-07-01,"00",7,1.5543,1.2761,"1","MA"," Barnstable","CACO1"
